factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
CFIC,Cash Flow to Invested Capital,Earnings Quality,0.01894349095015757,1.0769096701550227,1.0359973667626114,1.0769096701550227,31.0,113.0
CashEV,Cash to EV Ratio,Valuation,0.02290505808939125,1.0711980564795054,1.1857737364070553,1.0711980564795054,14.0,114.0
FwdFCFPC,Forward Free Cash Flow to Price Ratio,Valuation,0.019734609260900537,1.057334246806098,1.105166425651427,1.057334246806098,15.0,115.0
IO_TO,Institution Ownership Turnover,Price Momentum,0.027681574962199695,1.0460547166868843,1.0160711397391695,1.0460547166868843,12.0,116.0
50To200PrcRatio,50 Day to 200 Day Stock Price,Price Momentum,0.025841446381770217,1.0418299704860658,1.1801834296145273,1.0418299704860658,13.0,117.0
PM6M,6 Months Price Reversal,Price Momentum,0.029126753153957186,0.9934838943198534,1.0692465178901394,0.9934838943198534,14.0,118.0
DivP,Dividends to Price Ratio,Valuation,0.023234994764089967,0.9905922539237519,1.1164868903431306,0.9905922539237519,16.0,119.0
CFP,Net Cash Flow to Price,Valuation,0.024712472380232553,0.9786329843127044,1.1782380180650165,0.9786329843127044,17.0,120.0
BP,Book to Price,Valuation,0.025043089086652648,0.9775756785681513,1.1041489146845913,0.9775756785681513,18.0,121.0
PM12M1M,12M - 1M Price Momentum,Price Momentum,0.02700904931811743,0.9770712612344873,1.0985372040286498,0.9770712612344873,15.0,122.0
CashBurn,Cash Burn Rate,Earnings Quality,0.015281870257035868,0.9768392963459731,1.0297583685855416,0.9768392963459731,32.0,123.0
OEA,Operating Earnings to Assets Ratio,Earnings Quality,0.01995392152587039,0.9627143116814336,0.9846366277185651,0.9627143116814336,33.0,124.5
ROA,Return on Assets,Capital Efficiency,0.01995392152587039,0.9627143116814336,0.9846366277185651,0.9627143116814336,17.0,124.5
AstP,Assets to Price Ratio,Valuation,0.027137047294651495,0.9586012271479595,1.1466774995787508,0.9586012271479595,19.0,126.0
AdjEBITP,Adjusted EBIT to Price,Valuation,0.02280484792538995,0.9522754358410425,1.0928147535116137,0.9522754358410425,20.0,127.0
CashP,Cash to Price,Valuation,0.023159870019489937,0.9503099993215114,1.0878806184959797,0.9503099993215114,21.0,128.0
ROE,Return on Equity,Capital Efficiency,0.018447571705319854,0.9430584411724254,0.9279347247819943,0.9430584411724254,18.0,129.0
