factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total,tstat,newey_west_tstat
EPSEstDispFY1C,Analyst Dispersion for FY1 EPS,Analyst Expectations,0.019908353796436185,16.0,184.0,1.389173869050725,1.3770062968653494
WCTurn,Working Capital Turnover Ratio,Capital Efficiency,0.01963119666951374,17.0,185.0,1.3711630760012015,1.4133686343987644
60MAVGTTMEP,Normalized EP,Valuation,0.019553713511480497,34.0,186.0,0.9775262023690973,1.0355386189675133
CashRatio,Cash Ratio,Earnings Quality,0.019222957949282415,36.0,187.0,1.3461778397877076,1.5430995443043845
CACL,Current Ratio,Earnings Quality,0.019185571700655935,37.0,188.0,1.2938668880146704,1.725661575384353
RevEstDisp,Revenue Estimate Dispersion,Analyst Expectations,0.01900662278982046,17.0,189.0,0.9799169810191675,0.9960276895771256
SGAToSales,SG&A to Sales,Earnings Quality,0.018889723553006332,38.0,190.0,1.3908977981993125,1.3636886055395059
ShareChg,1Y Chg in Shares Outstanding,Capital Efficiency,0.018881637756356984,18.0,191.0,1.4609182533465277,1.3059137345325316
DebtChg1Y,Year over Year Change of Total Debt,Capital Efficiency,0.018663760417717112,19.0,192.0,1.1933288214841318,1.275073658598177
DivToCF,Dividends to Cash Flow,Valuation,0.018613179856567852,35.0,193.0,1.325048208377596,1.3331081321014238
BookLev,Book Leverage,Volatility,0.018599526573271463,6.0,194.0,1.0246765427036375,1.000397085937683
IO_Level,Institution Ownership Level,Price Momentum,0.01854108883816119,44.0,195.0,1.044013129240692,1.0394616496956042
CashToSales,Cash to Sales,Earnings Quality,0.018452649425452217,39.0,196.0,1.1896721781550235,1.3364932517618118
130DMinRtn,130 Day Minimum Return,Volatility,0.01836538622848849,7.0,197.0,0.7953672534029591,0.7913194063232465
EbitdaToAst,EBITDA to Assets,Capital Efficiency,0.018172629738638424,20.0,198.0,0.9762847184634387,0.955252170946366
Alpha18M6MPChg,6M Chg in 18M CAPM Alpha,Price Momentum,0.017846319389534182,45.0,199.0,0.984951415655641,0.9349152865910425
EPSEstDispFY2C,Analyst Dispersion for FY2 EPS,Analyst Expectations,0.01731455890837119,18.0,200.0,1.0642202474395914,1.0383874436961027
ROIC,Return on Invested Capital,Capital Efficiency,0.01691250648878473,21.0,201.0,0.9782034024462907,1.0182559062011112
PAdjChg3YEPS,3Y Chg in Earnings to Price,Historical Growth,0.01634160436931187,35.0,202.0,0.964518958007506,0.9846414052366734
LogTTMSales,Log TTM Sales,Size,0.015967862233117636,3.0,203.0,0.7317379908564033,0.7523640180034628
RSI26W,26W Relative Price Strength,Price Momentum,0.015487925467107644,46.0,204.0,0.8280239614441378,0.8376513385421094
QuickRatio,Quick Ratio,Earnings Quality,0.015166043819286879,40.0,205.0,1.0651209291942951,1.0970843314412175
PAdjChg3YSales,3Y Chg in Sales to Price,Historical Growth,0.015084160671556823,36.0,206.0,0.9394385394364573,1.0424052833847115
EbitToAst,EBIT to Assets,Capital Efficiency,0.01336047412460828,22.0,207.0,0.8412942810240329,0.8156396697833825
InvToAst,Inventory to Assets Ratio,Earnings Quality,0.012718743629096307,41.0,208.0,0.7902316831333838,0.9043580416691743
60MAVGTTMROA,Normalized ROA,Capital Efficiency,0.012370027048362875,23.0,209.0,0.9106687706594585,0.9642049588901382
WCapToSales,Working Capital to Sales,Earnings Quality,0.011818256970936414,42.0,210.0,0.775713771072091,1.0021749268135136
EBITEstDisp,EBIT Estimate Dispersion,Analyst Expectations,0.011271540025185711,19.0,211.0,0.6335639887918817,0.6900835205656473
CapExToAst,Capital Expenditure to Total Assets,Capital Efficiency,0.011165058624920121,24.0,212.0,0.6606034407736285,0.6284484282957196
CashCycle,Cash Conversion Cycle,Earnings Quality,0.010457666176874936,43.0,213.0,0.6239328423432913,0.7349576662735264
YoYChgDA,1Y Chg in Debt to Assets,Volatility,0.00948913837600851,8.0,214.0,0.7412049135211566,0.7344405446343393
