style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Capital Efficiency,Earnings Quality,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
factor_weight,,,,,0.021621521816389294,0.20431602944049673,0.049936965510287146,0.09875848294333273,0.24346249417352991,0.024010934147244627,0.20767050160349557,0.14737045318156372,0.0028526171836602172,1.0
factor,,,,,Rev3MFY2C,RevMagFY1C,TobinQ,FCFSales,SalesAcc,52WSlope,PM6M,FwdEPC,90DCV,AGG
99,2025-11-30,002353 CH Equity,CNE100000L55,29381201W,,0.012048192771084338,-0.043478260869565216,,0.006211180124223602,0.006172839506172839,,-0.038461538461538464,0.010416666666666666,-0.0036875080476876103
100,2025-11-30,002371 CH Equity,CNE100000ML7,29404201W,,,,,,0.006172839506172839,,,,0.0001482156428842261
101,2025-11-30,002384 CH Equity,CNE100000N79,29420401W,,-0.012345679012345678,,,,0.006172839506172839,,,0.010416666666666666,-0.002344489711335322
102,2025-11-30,002409 CH Equity,CNE100000PG0,29458701W,,,,,-0.012345679012345678,0.006172839506172839,,,,-0.0028574941617272543
103,2025-11-30,002414 CH Equity,CNE100000RK8,29459201W,0.011904761904761904,0.012048192771084338,,0.013888888888888888,0.006211180124223602,,,,,0.005602872979404087
104,2025-11-30,002415 CH Equity,CNE100000PM8,29459401W,,,,0.013888888888888888,,,,,,0.0013716455964351768
105,2025-11-30,002422 CH Equity,CNE100000PW7,29476001W,-0.012048192771084338,,,,,0.006172839506172839,,,,-0.00011228461996383768
106,2025-11-30,002429 CH Equity,CNE100000Q50,29482001W,,,,,,,-0.03333333333333333,,0.010416666666666666,-0.006892635291120058
107,2025-11-30,002430 CH Equity,CNE100000Q68,29482401W,,,,,0.006211180124223602,,,,,0.0015121894048045336
108,2025-11-30,002444 CH Equity,CNE100000RC5,29502601W,0.011904761904761904,,,,,,,,,0.00025739906924272967
109,2025-11-30,002456 CH Equity,CNE100000S33,29502901W,-0.012048192771084338,-0.012345679012345678,,,0.006211180124223602,-0.012345679012345678,,,,-0.0015671622603613247
110,2025-11-30,002459 CH Equity,CNE100000SD1,33550301W,-0.012048192771084338,-0.012345679012345678,,,,-0.012345679012345678,,,,-0.0030793516651658583
111,2025-11-30,002460 CH Equity,CNE100000SF6,29513601W,,-0.012345679012345678,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,-0.0008323003065307886
112,2025-11-30,002463 CH Equity,CNE100000SP5,29513901W,0.011904761904761904,,,,,0.006172839506172839,,,,0.00040561471212695576
113,2025-11-30,002465 CH Equity,CNE100000T24,29523901W,-0.012048192771084338,,,-0.014084507042253521,0.006211180124223602,,,,-0.010752688172043012,-0.000169948709591284
114,2025-11-30,002466 CH Equity,CNE100000T32,29524001W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
115,2025-11-30,002472 CH Equity,CNE100000TF4,29531901W,,,,,,,-0.03333333333333333,,0.010416666666666666,-0.006892635291120058
116,2025-11-30,002475 CH Equity,CNE100000TP3,29532601W,,,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,0.0016901198100185537
117,2025-11-30,002493 CH Equity,CNE100000W60,29566201W,,-0.012345679012345678,,,,,,,,-0.0025224201165493423
118,2025-11-30,002517 CH Equity,CNE100000XB5,29586901W,,,-0.043478260869565216,0.013888888888888888,,,-0.03333333333333333,-0.038461538461538464,0.010416666666666666,-0.013360256461312692
119,2025-11-30,002555 CH Equity,CNE1000010N2,29684401W,,,,,,,,0.09090909090909091,,0.013397313925596703
120,2025-11-30,002558 CH Equity,CNE1000010R3,29685501W,,,,0.013888888888888888,,,-0.03333333333333333,-0.038461538461538464,0.010416666666666666,-0.011189084047821948
121,2025-11-30,002594 CH Equity,CNE100001526,25375902W,-0.012048192771084338,-0.012345679012345678,,,,,0.03333333333333333,,-0.010752688172043012,0.004108756371002336
122,2025-11-30,002595 CH Equity,CNE1000014X3,29816201W,0.011904761904761904,0.012048192771084338,,,,0.006172839506172839,,,,0.0028672536210486033
123,2025-11-30,002600 CH Equity,CNE1000015L5,29835401W,0.011904761904761904,,,,,,,,0.010416666666666666,0.0002871138315725236
124,2025-11-30,002601 CH Equity,CNE1000015M3,29835301W,-0.012048192771084338,-0.012345679012345678,,,,,,,,-0.002782920379397406
125,2025-11-30,002603 CH Equity,CNE1000015S0,29838801W,,,,,0.006211180124223602,,,,,0.0015121894048045336
126,2025-11-30,002625 CH Equity,CNE1000018P0,30758701W,,,,-0.014084507042253521,0.006211180124223602,0.006172839506172839,,,,0.0002694404991911157
127,2025-11-30,002648 CH Equity,CNE100001B07,31141001W,-0.012048192771084338,-0.012345679012345678,,,-0.012345679012345678,-0.012345679012345678,,,,-0.006085061469777339
128,2025-11-30,002653 CH Equity,CNE100001BC7,31142801W,,,,,0.006211180124223602,0.006172839506172839,,,,0.0016604050476887596
129,2025-11-30,002673 CH Equity,CNE100001D96,31254501W,,,,,,,,,,0.0
130,2025-11-30,002709 CH Equity,CNE100001RG4,31698501W,,,,,,0.006172839506172839,,,0.010416666666666666,0.00017793040521402003
131,2025-11-30,002714 CH Equity,CNE100001RQ3,31703401W,0.011904761904761904,,,0.013888888888888888,-0.012345679012345678,0.006172839506172839,,,0.010416666666666666,-0.001198734733719554
132,2025-11-30,002736 CH Equity,CNE100001WS9,31897501W,,,,,,,-0.03333333333333333,,0.010416666666666666,-0.006892635291120058
133,2025-11-30,002738 CH Equity,CNE100001WV3,31888101W,-0.012048192771084338,-0.012345679012345678,,,-0.012345679012345678,0.006172839506172839,,,0.010416666666666666,-0.0056106997787948665
134,2025-11-30,002739 CH Equity,CNE100001WW1,31906401W,,,,,,,,-0.038461538461538464,-0.010752688172043012,-0.005698767656187175
135,2025-11-30,002797 CH Equity,CNE1000027G0,32163001W,,,,,,,,,,0.0
136,2025-11-30,002812 CH Equity,CNE100002BR3,32245801W,-0.012048192771084338,-0.012345679012345678,,,0.006211180124223602,0.006172839506172839,,,0.010416666666666666,-0.0010928005693788523
